Match_Status,Team1,Team2,Score,Goals
FT,EGEMENPROJETAKIMI,RENAISSANCE FC,2 - 2,15' Erling Haaland | 52' Erling Haaland
82' (Ended early),EGEMENPROJETAKIMI,FLICKS FC,3 - 1,23' Erling Haaland | 54' Erling Haaland | 82' Kingsley Coman
FT,EGEMENPROJETAKIMI,ZESTAFONI,2 - 1,15' Ousmane Dembele | 63' Erling Haaland | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,SEVILLA DRAGON,1 - 2,90' Erling Haaland
85' (Ended early),EGEMENPROJETAKIMI,BLACKPOOL FC,0 - 1,
FT,EGEMENPROJETAKIMI,Dream FC,1 - 2,22' Erling Haaland
45' (Ended early),EGEMENPROJETAKIMI,TIKI TAKA,5 - 2,7' Erling Haaland | 18' Erling Haaland
FT,EGEMENPROJETAKIMI,EWUSI MONIES,6 - 1,10' Erling Haaland | 33' Erling Haaland | 39' Ousmane Dembele | 52' Erling Haaland | 71' Erling Haaland | 75' Erling Haaland
FT,EGEMENPROJETAKIMI,HAYDAR,1 - 2,66' Vini Jr.
FT,EGEMENPROJETAKIMI,NDANDA,3 - 2,19' Rodri | 32' Vini Jr. | 78' Vini Jr.
FT,EGEMENPROJETAKIMI,KURDSTAN,4 - 2,6' Erling Haaland | 23' Ousmane Dembele | 66' Ousmane Dembele | 74' Ousmane Dembele
FT,EGEMENPROJETAKIMI,STAR BLANCA,2 - 1,36' Jude Bellingham | 45' Ousmane Dembele | 56' Vini Jr.
FT,EGEMENPROJETAKIMI,ARSENAL,1 - 1,23' Rodrygo
FT,EGEMENPROJETAKIMI,BARCELONA,3 - 3,9' Kylian Mbappe | 16' Kylian Mbappe | 26' Rodrygo
FT,EGEMENPROJETAKIMI,R MADRID,2 - 2,43' Vini Jr. | 60' Kylian Mbappe
FT,EGEMENPROJETAKIMI,BARCELONA,2 - 0,35' Vini Jr. | 45' Kylian Mbappe | 85' Aurelien Tchouameni
FT,EGEMENPROJETAKIMI,PSG,2 - 1,62' Vini Jr. | 70' Vini Jr.
FT,EGEMENPROJETAKIMI,ADANADEMIRSPOR,3 - 0,10' Vini Jr. | 22' Erling Haaland | 39' Rodri | 90' Jude Bellingham
FT,EGEMENPROJETAKIMI,LIVERPOL FC,3 - 1,6' Erling Haaland | 20' Erling Haaland | 45' Erling Haaland
FT,EGEMENPROJETAKIMI,ORACLE,1 - 1,58' Rodri
4' (Ended early),EGEMENPROJETAKIMI,BEITAR JERUSALEM FC,0 - 3,
FT,EGEMENPROJETAKIMI,VAN,1 - 1,57' Erling Haaland
FT,EGEMENPROJETAKIMI,SSL 1900,4 - 1,23' Erling Haaland | 33' Erling Haaland | 85' Erling Haaland | 90' Erling Haaland
63' (Ended early),EGEMENPROJETAKIMI,MAD CLIP,2 - 0,51' Erling Haaland | 63' Erling Haaland
FT,EGEMENPROJETAKIMI,MUNTADHER SALAH,0 - 0,
38' (Ended early),EGEMENPROJETAKIMI,GALATASARAY,1 - 4,35' Erling Haaland
72' (Ended early),EGEMENPROJETAKIMI,LIVERPOOL,0 - 2,
FT,EGEMENPROJETAKIMI,ASK ALGERIA,2 - 0,74' Erling Haaland | 85' Erling Haaland
69' (Ended early),EGEMENPROJETAKIMI,ALGERIE OLB CHIKOR,3 - 0,4' Erling Haaland | 9' Vini Jr. | 69' Erling Haaland
FT,EGEMENPROJETAKIMI,FC STEAUA,1 - 1,85' Erling Haaland
FT,EGEMENPROJETAKIMI,REAL MADRID,0 - 0,
87' (Ended early),EGEMENPROJETAKIMI,Dream FC,0 - 2,
61' (Ended early),EGEMENPROJETAKIMI,BJK,0 - 2,
FT,EGEMENPROJETAKIMI,ALHILAL SUDANESE,2 - 2,33' Erling Haaland | 70' Erling Haaland | 89' Virgil van Dijk
89' (Ended early),EGEMENPROJETAKIMI,FENERBAHCE,3 - 1,10' Virgil van Dijk | 16' Vini Jr. | 89' Ousmane Dembele
FT,EGEMENPROJETAKIMI,REAL MADRID,1 - 0,16' Ousmane Dembele
FT,EGEMENPROJETAKIMI,BUKHARA CITY,2 - 1,71' Ousmane Dembele | 83' Kylian Mbappe
FT,EGEMENPROJETAKIMI,JUVENTUS,1 - 1,64' Erling Haaland
70' (Ended early),EGEMENPROJETAKIMI,KOBANI,3 - 0,13' Erling Haaland | 30' Erling Haaland | 45' Erling Haaland
FT,EGEMENPROJETAKIMI,BJK,1 - 3,77' Erling Haaland
